trip_distance,duration_seconds,MPH
17.23,1219,50.88433006730992
38,2689,50.87393082930458
30.25,2149,50.67473243369008
12.19,866,50.674363151708874
27.58,1960,50.657142717011126
7.12,506,50.65612566800928
17.25,1226,50.65252854812398
15.41,1096,50.61678781996678
22.18,1578,50.600761152492275
25.82,1856,50.081895959788355
17.3,1244,50.06430647380866
25.13,1808,50.037608948429074
1.07,77,50.02597647827941
11.5,828,50
33.76,2432,49.97368172595375
24.12,1738,49.960876306812565
6.05,436,49.95413001524199
26.07,1880,49.92127601136552
10.92,788,49.88832522164747
24.87,1797,49.82304007859779
19.79,1431,49.78616582522602
28.87,2088,49.77586351591965
10.89,788,49.75127060401258
7.04,510,49.69411737778608
30.95,2243,49.674544247250125
11.28,818,49.64303060965317
26.56,1928,49.5933599986476
8.87,644,49.58385029194518
11.27,819,49.53846355060954
5.77,420,49.45714269365583
14.73,1073,49.420315332759344
2.21,161,49.41614992129877
23.84,1737,49.4093267411148
7.63,556,49.402878438826086
8.88,648,49.33333396911621
16.71,1220,49.308194019755376
9.23,674,49.29970081906644
11.74,858,49.25874029839789
11.6,848,49.24528463831488
27.59,2019,49.194651089309765
6.42,470,49.174468669485535
17.15,1257,49.116944014883835
9.26,679,49.095730226766726
19.24,1411,49.08858906876357
20.22,1483,49.08428693734064
69.71,5116,49.053165892123054
11.67,857,49.02217068221494
29.24,2149,48.98278230620073
1.85,136,48.97058886640212
5.75,423,48.93617021276596
9.2,677,48.92171242740693
11.28,831,48.86642483597628
26.75,1971,48.858447488584474
16.35,1205,48.84647416870624
17.12,1262,48.836769430459775
49.84,3675,48.822857292331
33.19,2448,48.80882150986615
7.74,571,48.79859750617406
18.78,1386,48.7792225627156
7.12,526,48.730037239567864
25.98,1920,48.712499141693115
11.55,854,48.688525394198486
29.4,2174,48.68445199020652
13.67,1011,48.67655813517132
16.22,1200,48.65999794006348
11.92,882,48.653061535893656
9.58,709,48.64315899201946
116.9,8658,48.60706924152969
17.7,1311,48.604121088163254
8.1,600,48.60000228881836
18.24,1353,48.53215016705498
11.91,884,48.50226182204027
10.4,772,48.4974075475505
11.1,824,48.49514729768327
8.39,623,48.48154291486664
20.07,1491,48.45875177824761
24.56,1825,48.44712223418772
7.6,565,48.424778153411054
11.9,885,48.40677810927569
35.63,2653,48.34828640980582
36.86,2748,48.2882104065741
17.96,1339,48.28677871852245
26.36,1966,48.26856673309543
5,373,48.257372654155496
24.15,1803,48.219633181757615
15.89,1187,48.19208191740683
11.78,880,48.19090799851851
9.45,706,48.186967865941206
27.14,2028,48.1775137094351
24.78,1852,48.16846785741027
34.6,2586,48.167051240075764
14.93,1116,48.16129130701865
30.03,2248,48.0907484305711
16.91,1266,48.08530762297282
17.24,1291,48.0743603222505
44.2,3310,48.07250838265318
10.44,782,48.061379142429516
34.03,2549,48.061198746751174
21.52,1612,48.05955437217693
10.88,815,48.05889621102737
24.36,1826,48.02628816936781
1,75,48
25.74,1931,47.98757077991993
24.45,1835,47.967303949091026
11.47,861,47.958189269806866
11.37,854,47.92974190633805
11.82,888,47.918917681719805
7,526,47.90874524714829
24.2,1819,47.894449008566255
8.54,642,47.88785025338146
25.9,1948,47.86447568106211
10.52,792,47.81818389892578
22.26,1676,47.813842973731866
18.08,1363,47.75348475813778
11.6,875,47.72571585518973
11.65,879,47.713309017871424
10.63,803,47.656289429623044
26.07,1970,47.6406085793742
2.17,164,47.634148016208556
12.7,960,47.62499928474426
62.98,4765,47.58195138553007
51.54,3900,47.575385460486785
8.02,607,47.56507684999872
19.21,1454,47.562583702958435
11.2,848,47.54716900159728
17.41,1320,47.48181776566939
16.49,1251,47.45323675141918
12.77,970,47.39381613190641
26.77,2034,47.38053178365252
11.64,885,47.34915393894002
11.84,901,47.30743679169413
10.89,829,47.29071319175141
20.7,1577,47.25428202066077
9.91,755,47.25297940487893
19.62,1495,47.24548697072925
5.8,442,47.23982055802151
27.07,2063,47.238002375844495
